1,Super Kale Pesto,2 garlic cloves-3 cups packed kale-3/4 hemp seeds-2 tablespoons lemon juice-3/4 teaspoon fine grain sea salt-1/4 teaspoon ground pepper-Red pepper flakes-1/4 cup flaxseed oil-1/3 cup grated Parmesan cheese-1 pound gluten free pasta-1 cup reserved pasta water
2,Caprese Pasta Salad,2 cups of gluten free pasta-1/3 cup olive oil-2 pints cherry or grape tomatoes-1/2 teaspoon sea salt-8 ounces mozzarella-Several sprigs of fresh basil-2 teaspoons white balsamic vinegar
3,Spaghetti Squash Burrito Bowls,2 medium spaghetti squash-2 tablespoons olive oil-Salt and pepper-2 cups purple cabbage-1 can black beans-1 red bell pepper-1/3 cup chopped green onions-1/3 cup chopped fresh cilantro-2 tablespoons fresh lime juice-1 teaspoon olive oil-1/4 teaspoon salt-3/4 cup mild salsa verde-1 ripe avocado-1/3 cup fresh cilantro-1 tablespoon fresh lime juice-1 garlic clove
4,Hearty Spaghetti with Lentils and Marinara Sauce,1/2 cup dry lentils-1 bay leaf-1 large garlic clove-1/4 teaspoon salt-2 cups vegetable broth-2 cups marinara sauce-8 ounces gluten free pasta-grated Parmesan
5,Vegetable Fried Rice,1 1/2 teaspoon avocado oil-2 eggs whisked-1 small white onion-2 medium carrots-2 cups additional vegetables-1/4 teaspoon salt-1 tablespoon grated ginger-2 large garlic cloves-Pinch of red pepper flakes-2 cups cooked brown rice-1 cup greens-3 green onions-1 tablespoon gluten free tamari- 1 teaspoon sesame oil-Chili garlic sauce
6,Broccoli Casserole,2 cups vegetable broth-1 cup quinoa-16 ounces broccoli florets-2 tablespoons olive oil-3/4 teaspoon salt-10 twists of freshly ground black pepper-1/4 teaspoon red pepper flake-8 ounces cheddar cheese-1 cup lowfat milk-1/2 tablespoon butter-1 garlic clove-1 slice gluten free bread
7,Tortilla Soup,1 dried chili pepper-Olive oil-1 medium white onion-2 garlic cloves-1 medium jalapenos-1 teaspoon ground cumin-14 ounce can tomato sauce-4 cups vegetable stock-14 ounce can hominy-14 ounce can black beans-Sea salt-6 corn tortillas-1 avocado-3 radishes-2 ounces queso fresco-1 handful cilantro leaves-1 lime
8,Spicy Kale and Coconut Stir Fry,2 tablespoons coconut oil-2 eggs-2 garlic cloves-3/4 cup chopped green onions-1 cup chopped vegetables-1 medium bunch kale-1/4 teaspoon fine sea salt-3/4 cup large coconut flakes-2 cups cooked brown rice-2 teaspoons gluten free tamari-2 teaspoons chili garlic sauce-1 lime-Handful fresh cilantro
9,Spicy Vegan Black Bean Soup,2 tablespoons olive oil-2 medium yellow onions-3 celery ribs-1 large carrot-6 garlic cloves-4 1/2 teaspoons ground cumin-1/2 teaspoon red pepper flakes-4 cans of black beans-4 cups low sodium vegetable broth-1/4 cup chopped cilantro-1 teaspoon sherry vinegar-Sea salt and pepper
10,Lemon Collard Greens Pasta,8 ounces fresh collard greens-1/3 of a package of gluten free pasta-3 tablespoons pine nuts-Olive oil-2 small garlic cloves-Big pinch red pepper flakes-Sea salt and pepper-1 ounce Parmesan cheese-1/2 lemon
1,Super Kale Pesto,2 garlic cloves-3 cups packed kale-3/4 hemp seeds-2 tablespoons lemon juice-3/4 teaspoon fine grain sea salt-1/4 teaspoon ground pepper-Red pepper flakes-1/4 cup flaxseed oil-1/3 cup grated Parmesan cheese-1 pound gluten free pasta-1 cup reserved pasta water
2,Caprese Pasta Salad,2 cups of gluten free pasta-1/3 cup olive oil-2 pints cherry or grape tomatoes-1/2 teaspoon sea salt-8 ounces mozzarella-Several sprigs of fresh basil-2 teaspoons white balsamic vinegar
3,Spaghetti Squash Burrito Bowls,2 medium spaghetti squash-2 tablespoons olive oil-Salt and pepper-2 cups purple cabbage-1 can black beans-1 red bell pepper-1/3 cup chopped green onions-1/3 cup chopped fresh cilantro-2 tablespoons fresh lime juice-1 teaspoon olive oil-1/4 teaspoon salt-3/4 cup mild salsa verde-1 ripe avocado-1/3 cup fresh cilantro-1 tablespoon fresh lime juice-1 garlic clove
4,Hearty Spaghetti with Lentils and Marinara Sauce,1/2 cup dry lentils-1 bay leaf-1 large garlic clove-1/4 teaspoon salt-2 cups vegetable broth-2 cups marinara sauce-8 ounces gluten free pasta-grated Parmesan
5,Vegetable Fried Rice,1 1/2 teaspoon avocado oil-2 eggs whisked-1 small white onion-2 medium carrots-2 cups additional vegetables-1/4 teaspoon salt-1 tablespoon grated ginger-2 large garlic cloves-Pinch of red pepper flakes-2 cups cooked brown rice-1 cup greens-3 green onions-1 tablespoon gluten free tamari- 1 teaspoon sesame oil-Chili garlic sauce
6,Broccoli Casserole,2 cups vegetable broth-1 cup quinoa-16 ounces broccoli florets-2 tablespoons olive oil-3/4 teaspoon salt-10 twists of freshly ground black pepper-1/4 teaspoon red pepper flake-8 ounces cheddar cheese-1 cup lowfat milk-1/2 tablespoon butter-1 garlic clove-1 slice gluten free bread
7,Tortilla Soup,1 dried chili pepper-Olive oil-1 medium white onion-2 garlic cloves-1 medium jalapenos-1 teaspoon ground cumin-14 ounce can tomato sauce-4 cups vegetable stock-14 ounce can hominy-14 ounce can black beans-Sea salt-6 corn tortillas-1 avocado-3 radishes-2 ounces queso fresco-1 handful cilantro leaves-1 lime
8,Spicy Kale and Coconut Stir Fry,2 tablespoons coconut oil-2 eggs-2 garlic cloves-3/4 cup chopped green onions-1 cup chopped vegetables-1 medium bunch kale-1/4 teaspoon fine sea salt-3/4 cup large coconut flakes-2 cups cooked brown rice-2 teaspoons gluten free tamari-2 teaspoons chili garlic sauce-1 lime-Handful fresh cilantro
9,Spicy Vegan Black Bean Soup,2 tablespoons olive oil-2 medium yellow onions-3 celery ribs-1 large carrot-6 garlic cloves-4 1/2 teaspoons ground cumin-1/2 teaspoon red pepper flakes-4 cans of black beans-4 cups low sodium vegetable broth-1/4 cup chopped cilantro-1 teaspoon sherry vinegar-Sea salt and pepper
10,Lemon Collard Greens Pasta,8 ounces fresh collard greens-1/3 of a package of gluten free pasta-3 tablespoons pine nuts-Olive oil-2 small garlic cloves-Big pinch red pepper flakes-Sea salt and pepper-1 ounce Parmesan cheese-1/2 lemon
